acc,disp_impact,disp_tpr,disp_tnr,dataset,method,seed
0.8540682414698163,0.18711815729537873,0.11122666970768236,0.07555242351987179,Adult,LR,0
0.8542782152230971,0.19324813186830633,0.09402972592846015,0.08063774467688012,Adult,RF,0
0.8534383202099738,0.18271069223081082,0.11864674801383657,0.07061214672085514,Adult,SVM,0
0.8153280839895013,0.207930817405359,0.021059033717261477,0.09753754420514404,Adult,LR+Adaptive,0
0.8491338582677166,0.16493443145789166,0.1139375549874958,0.06256934243756374,Adult,LR,1
0.8534383202099738,0.1759529005931647,0.10831653400392094,0.07242031574293917,Adult,RF,1
0.8483989501312336,0.15974561722455838,0.11338889235266814,0.05866303493864056,Adult,SVM,1
0.8135433070866142,0.19918054584020853,0.014800036023304375,0.1001231604186289,Adult,LR+Adaptive,1
0.8545931758530184,0.17593196953048199,0.07564411949760674,0.06774549360245374,Adult,LR,2
0.8573228346456693,0.1907600802753202,0.055110346530316434,0.08480717078654221,Adult,RF,2
0.8536482939632546,0.16939497322429248,0.06326428213031332,0.06440381404354267,Adult,SVM,2
0.8199475065616798,0.20316917481334404,0.04547503564061517,0.0980078804201604,Adult,LR+Adaptive,2
0.8459842519685039,0.16871144702697044,0.04087292693859257,0.07999132117197183,Adult,LR,3
0.8475590551181102,0.1680153892904991,0.02368332586284183,0.07715719195580728,Adult,RF,3
0.8467191601049868,0.16274246251305013,0.040262214253697914,0.07388410560988179,Adult,SVM,3
0.8050393700787402,0.1846802804940266,0.05040340654415054,0.09486659618759341,Adult,LR+Adaptive,3
0.8493438320209974,0.17212786787173293,0.09616680609778772,0.06693807321683087,Adult,LR,4
0.8498687664041995,0.16738676286222298,0.08241541178657741,0.061966482307739934,Adult,RF,4
0.8503937007874016,0.16599811231713074,0.09497583193902215,0.06083166790605443,Adult,SVM,4
0.8067191601049869,0.19436921718363437,0.010579336307863896,0.0936697948296874,Adult,LR+Adaptive,4
0.765,0.12303399289700656,0.08836023789294811,0.06227106227106227,German,LR,0
0.785,0.05301877219685436,0.004531294250920359,0.018315018315018305,German,RF,0
0.765,0.11136478944698125,0.058057207589917836,0.08791208791208793,German,SVM,0
0.715,0.0306950786402842,0.06825261965448881,0.07326007326007322,German,LR+Adaptive,0
0.755,0.06286118646066752,0.045657307793230184,0.041666666666666685,German,LR,1
0.745,0.0652199551833943,0.022828653896615037,0.055555555555555525,German,RF,1
0.755,0.06286118646066752,0.045657307793230184,0.041666666666666685,German,SVM,1
0.715,0.035735346149310065,0.008134347940173203,0.06944444444444442,German,LR+Adaptive,1
0.685,0.0535714285714286,0.09081196581196571,0.025000000000000022,German,LR,2
0.71,0.011904761904761973,0.04166666666666663,0.07499999999999996,German,RF,2
0.695,0.0535714285714286,0.08119658119658113,0.050000000000000044,German,SVM,2
0.645,0.05555555555555558,0.1527777777777778,0.07500000000000007,German,LR+Adaptive,2
0.77,0.0021228918504541117,0.039999999999999925,0.16849816849816845,German,LR,3
0.745,0.08243896685929941,0.08500000000000008,0.018315018315018305,German,RF,3
0.765,0.00011793843613627786,0.04999999999999993,0.19047619047619047,German,SVM,3
0.695,0.06498407831112163,0.07499999999999996,0.1282051282051282,German,LR+Adaptive,3
0.795,0.18933823529411764,0.0944402132520944,0.21142857142857147,German,LR,4
0.765,0.10845588235294112,0.09850215790809846,0.017142857142857126,German,RF,4
0.81,0.18841911764705888,0.08860116780908855,0.21142857142857147,German,SVM,4
0.765,0.12132352941176472,0.03274942878903275,0.10285714285714287,German,LR+Adaptive,4
